

=== Predictions on test data ===

 inst#     actual  predicted error prediction
   414        2:1        2:1       0.667 
   415        2:1        2:1       0.733 
   416        2:1        1:0   +   0.533 
   417        2:1        2:1       0.8 
   418        2:1        2:1       0.867 
   419        2:1        2:1       0.533 
   420        2:1        2:1       1 
   421        2:1        2:1       1 
   422        2:1        2:1       0.933 
   423        2:1        2:1       0.933 
   424        2:1        2:1       0.933 
   425        2:1        1:0   +   0.6 
   426        2:1        1:0   +   0.533 
   427        2:1        1:0   +   0.667 
   428        2:1        2:1       0.533 
   429        2:1        1:0   +   0.733 
   430        2:1        2:1       0.867 
   431        2:1        2:1       0.667 
   432        2:1        2:1       1 
   433        2:1        2:1       0.867 
   434        2:1        2:1       1 
   435        2:1        2:1       0.933 
   436        2:1        2:1       0.933 
   437        2:1        2:1       0.6 
   438        2:1        2:1       0.667 
   439        2:1        2:1       0.933 
   440        2:1        1:0   +   0.6 
   441        2:1        1:0   +   0.6 
   442        2:1        2:1       0.667 
   443        2:1        2:1       0.933 
   444        2:1        1:0   +   0.6 
   445        2:1        1:0   +   0.533 
   446        2:1        1:0   +   0.6 
   447        2:1        2:1       0.933 
   448        2:1        2:1       0.733 
   449        2:1        2:1       0.733 
   450        2:1        2:1       0.733 
   451        2:1        1:0   +   0.667 
   452        2:1        1:0   +   0.6 
   453        2:1        2:1       0.8 
   454        2:1        1:0   +   0.8 
   455        2:1        2:1       0.8 
   456        2:1        1:0   +   0.733 
   457        2:1        2:1       0.667 
   458        2:1        2:1       0.667 
   459        2:1        1:0   +   0.533 
   460        2:1        2:1       0.933 
   461        2:1        1:0   +   0.6 
   462        2:1        2:1       1 
   463        2:1        2:1       0.867 
   464        2:1        1:0   +   0.533 
   465        2:1        2:1       0.867 
   466        2:1        2:1       0.6 
   467        2:1        2:1       1 
   468        2:1        1:0   +   0.533 
   469        2:1        2:1       0.6 
   470        2:1        2:1       1 
   471        2:1        2:1       0.933 
   472        2:1        2:1       0.733 
   473        2:1        2:1       0.733 
   474        2:1        2:1       1 
   475        2:1        2:1       0.733 
   476        2:1        2:1       0.933 
   477        2:1        1:0   +   0.8 
   478        2:1        2:1       0.8 
   479        2:1        2:1       0.667 
   480        2:1        2:1       0.667 
   481        2:1        2:1       0.733 
   482        2:1        2:1       0.8 
   483        2:1        2:1       0.667 
   484        2:1        2:1       0.867 
   485        2:1        1:0   +   0.733 
   486        2:1        2:1       0.733 
   487        2:1        2:1       0.867 
   488        2:1        2:1       1 
   489        2:1        2:1       1 
   490        2:1        2:1       0.867 
   491        2:1        2:1       0.667 
   492        2:1        1:0   +   0.733 
   493        2:1        2:1       1 
   494        2:1        2:1       0.6 
   495        2:1        2:1       0.533 
   496        2:1        2:1       0.8 
   497        2:1        2:1       0.8 
   498        2:1        2:1       0.733 
   499        2:1        2:1       0.733 
   500        2:1        2:1       1 
   501        2:1        2:1       1 
   502        2:1        2:1       1 
   503        2:1        2:1       0.867 
   504        2:1        2:1       0.8 
   505        2:1        2:1       1 
   506        2:1        2:1       1 
   507        2:1        2:1       0.6 
   508        2:1        2:1       1 
   509        2:1        1:0   +   0.733 
   510        2:1        2:1       0.733 
   511        2:1        2:1       0.733 
   512        2:1        2:1       0.867 
   513        2:1        1:0   +   0.8 
   514        2:1        2:1       0.733 
   515        2:1        2:1       1 
   516        2:1        1:0   +   0.533 
   517        2:1        1:0   +   0.8 
   518        2:1        2:1       0.533 
   519        2:1        2:1       0.867 
   520        2:1        2:1       0.867 
   521        2:1        2:1       0.667 
   522        2:1        2:1       0.667 
   523        2:1        2:1       0.867 
   524        2:1        2:1       0.8 
   525        2:1        2:1       1 
   526        2:1        2:1       0.533 
   527        2:1        1:0   +   0.6 
   528        2:1        2:1       0.8 
   529        2:1        2:1       1 
   530        2:1        2:1       0.6 
   531        2:1        2:1       0.733 
   532        2:1        2:1       0.933 
   533        2:1        2:1       0.6 
   534        2:1        1:0   +   0.667 
   535        2:1        2:1       0.867 
   536        2:1        2:1       0.733 
   537        2:1        2:1       1 
   538        2:1        2:1       0.6 
   539        2:1        1:0   +   0.6 
   540        2:1        2:1       0.6 
   541        2:1        2:1       0.733 
   542        2:1        2:1       0.667 
   543        2:1        1:0   +   0.667 
   544        2:1        2:1       0.533 
   545        2:1        2:1       0.733 
   546        2:1        2:1       0.933 
   547        2:1        2:1       0.533 
   548        2:1        2:1       0.733 
   549        2:1        1:0   +   0.733 
   550        2:1        1:0   +   0.6 
   551        2:1        1:0   +   0.533 
   552        2:1        1:0   +   0.6 
   553        2:1        2:1       0.867 
   554        2:1        2:1       0.867 
   555        2:1        2:1       0.6 
   556        2:1        2:1       0.533 
   557        2:1        2:1       0.667 
   558        2:1        2:1       0.667 
   559        2:1        2:1       0.733 
   560        2:1        2:1       0.867 
   561        2:1        2:1       0.867 
   562        2:1        2:1       0.733 
   563        2:1        2:1       0.667 
   564        2:1        1:0   +   0.6 
   565        2:1        2:1       0.8 
   566        2:1        1:0   +   0.6 
   567        2:1        2:1       1 
   568        2:1        2:1       1 
   569        2:1        1:0   +   0.533 
   570        2:1        1:0   +   0.8 
   571        2:1        1:0   +   0.533 
   572        2:1        2:1       1 
   573        2:1        2:1       0.867 
   574        2:1        1:0   +   0.733 
   575        2:1        2:1       1 
   576        2:1        2:1       0.667 
   577        2:1        2:1       0.8 
   578        2:1        1:0   +   0.6 
   579        2:1        2:1       1 
   580        2:1        2:1       0.8 
   581        2:1        2:1       1 
   582        2:1        2:1       0.867 
   583        2:1        2:1       0.933 
   584        2:1        2:1       0.867 
   585        2:1        2:1       0.6 
   586        2:1        2:1       0.8 
   587        2:1        2:1       0.533 
   588        2:1        2:1       0.933 
   589        2:1        2:1       0.933 
   590        2:1        2:1       1 
   591        2:1        2:1       0.667 
   592        2:1        2:1       0.933 
   593        2:1        2:1       0.733 
   594        2:1        1:0   +   0.667 
   595        2:1        1:0   +   0.733 
   596        2:1        2:1       0.933 
   597        2:1        2:1       0.867 
   598        2:1        2:1       1 
   599        2:1        2:1       1 
   600        2:1        1:0   +   0.533 
   601        2:1        2:1       0.733 
   602        2:1        2:1       0.733 
   603        2:1        2:1       1 
   604        2:1        2:1       0.733 
   605        2:1        2:1       0.933 
   606        2:1        2:1       1 
   607        2:1        1:0   +   0.533 
   608        2:1        1:0   +   0.533 
   609        2:1        1:0   +   0.6 
   610        2:1        2:1       0.667 
   611        2:1        2:1       0.6 
   612        2:1        2:1       0.8 
   613        2:1        2:1       0.733 
   614        2:1        2:1       0.867 
   615        2:1        2:1       0.533 
   616        2:1        2:1       0.867 
   617        2:1        2:1       0.8 
   618        2:1        2:1       0.667 
   619        2:1        2:1       1 
   620        2:1        2:1       0.733 
   621        2:1        2:1       0.867 
   622        2:1        2:1       0.533 
   623        2:1        2:1       0.667 
   624        2:1        1:0   +   0.8 
   625        2:1        1:0   +   0.533 
   626        2:1        1:0   +   0.8 
   627        2:1        2:1       0.8 
   628        2:1        2:1       0.733 
   629        2:1        2:1       0.933 
   630        2:1        2:1       0.8 
   631        2:1        1:0   +   0.867 
   632        2:1        2:1       0.733 
   633        2:1        2:1       1 
   634        2:1        1:0   +   0.8 
   635        2:1        2:1       0.8 
   636        2:1        2:1       1 
   637        2:1        2:1       0.8 
   638        2:1        2:1       0.8 
   639        2:1        2:1       1 
   640        2:1        2:1       1 
   641        2:1        2:1       0.933 
   642        2:1        2:1       0.867 
   643        2:1        1:0   +   0.867 
   644        2:1        2:1       1 
   645        2:1        2:1       0.667 
   646        2:1        1:0   +   0.533 
   647        2:1        2:1       0.667 
   648        2:1        2:1       1 
   649        2:1        1:0   +   0.733 
   650        2:1        1:0   +   0.667 
   651        2:1        2:1       1 
   652        2:1        2:1       0.6 
   653        2:1        1:0   +   0.733 
   654        2:1        2:1       0.8 
   655        2:1        1:0   +   0.733 
   656        2:1        2:1       1 
   657        2:1        2:1       0.867 
   658        2:1        2:1       0.667 
   659        2:1        2:1       0.6 
   660        2:1        2:1       1 
   661        2:1        2:1       0.933 
   662        2:1        1:0   +   0.6 
   663        2:1        2:1       0.8 
   664        2:1        2:1       0.667 
   665        2:1        2:1       0.533 
   666        2:1        2:1       0.8 
   667        2:1        2:1       0.933 
   668        2:1        1:0   +   0.8 
   669        2:1        1:0   +   1 
   670        2:1        2:1       0.6 
   671        2:1        2:1       0.6 
   672        2:1        2:1       0.667 
   673        2:1        1:0   +   0.6 
   674        2:1        1:0   +   0.533 
   675        2:1        2:1       0.933 
   676        2:1        1:0   +   0.667 
   677        2:1        2:1       1 
   678        2:1        2:1       0.933 
   679        2:1        2:1       1 
   680        2:1        2:1       1 
   681        2:1        2:1       0.533 
   682        2:1        2:1       0.933 
   683        2:1        2:1       0.8 
   684        2:1        1:0   +   0.733 
   685        2:1        1:0   +   0.667 
   686        2:1        1:0   +   0.667 
   687        2:1        2:1       0.867 
   688        2:1        1:0   +   0.6 
   689        2:1        2:1       0.733 
   690        2:1        2:1       1 
   691        2:1        1:0   +   0.533 
   692        2:1        2:1       0.667 
   693        2:1        1:0   +   0.733 
   694        2:1        2:1       0.6 
   695        2:1        1:0   +   0.867 
   696        2:1        1:0   +   0.667 
   697        2:1        1:0   +   0.867 
   698        2:1        2:1       0.867 
   699        2:1        1:0   +   0.933 
   700        2:1        2:1       0.533 
   701        2:1        1:0   +   0.6 
   702        2:1        2:1       0.6 
   703        2:1        2:1       1 
   704        2:1        2:1       0.733 
   705        2:1        2:1       0.733 
   706        2:1        2:1       0.667 
   707        2:1        1:0   +   0.533 
   708        2:1        2:1       0.533 
   709        2:1        2:1       0.667 
   710        2:1        2:1       0.667 
   711        2:1        2:1       0.533 
   712        2:1        2:1       0.6 
   713        2:1        2:1       0.933 
   714        2:1        2:1       0.933 
   715        2:1        2:1       0.533 
   716        2:1        1:0   +   0.667 
   717        2:1        2:1       1 
   718        2:1        1:0   +   0.667 
   719        2:1        2:1       0.8 
   720        2:1        1:0   +   0.667 
   721        2:1        2:1       0.733 
   722        2:1        2:1       1 
   723        2:1        1:0   +   0.533 
   724        2:1        1:0   +   0.6 
   725        2:1        2:1       0.933 
   726        2:1        2:1       0.6 
   727        2:1        2:1       0.667 
   728        2:1        2:1       0.8 
   729        2:1        2:1       0.733 
   730        2:1        2:1       1 
   731        2:1        2:1       0.933 
   732        2:1        2:1       0.667 
   733        2:1        2:1       1 
   734        2:1        1:0   +   0.8 
   735        2:1        2:1       0.8 
   736        2:1        2:1       0.933 
   737        2:1        2:1       0.933 
   738        2:1        2:1       0.667 
   739        2:1        2:1       0.733 
   740        2:1        2:1       0.733 
   741        2:1        1:0   +   0.533 
   742        2:1        2:1       0.733 
   743        2:1        2:1       0.933 
   744        2:1        1:0   +   0.733 
   745        2:1        2:1       1 
   746        2:1        2:1       0.6 
   747        2:1        2:1       0.667 
   748        2:1        1:0   +   0.667 
   749        2:1        2:1       0.533 
   750        2:1        1:0   +   0.533 
   751        2:1        1:0   +   0.733 
   752        2:1        2:1       0.667 
   753        2:1        2:1       0.933 
   754        2:1        2:1       0.867 
   755        2:1        2:1       0.933 
   756        2:1        2:1       0.6 
   757        2:1        1:0   +   0.533 
   758        2:1        2:1       0.6 
   759        2:1        2:1       1 
   760        2:1        2:1       0.533 
   761        2:1        2:1       0.867 
   762        2:1        2:1       0.733 
   763        2:1        2:1       0.667 
   764        2:1        1:0   +   0.6 
   765        2:1        2:1       0.933 
   766        2:1        2:1       0.6 
   767        2:1        2:1       0.8 
   768        2:1        2:1       0.533 
   769        2:1        2:1       0.6 
   770        2:1        1:0   +   0.667 
   771        2:1        1:0   +   0.533 
   772        2:1        1:0   +   0.667 
   773        2:1        2:1       0.733 
   774        2:1        2:1       0.733 
   775        2:1        1:0   +   0.733 
   776        2:1        2:1       0.933 
   777        2:1        1:0   +   0.6 
   778        2:1        2:1       0.8 
   779        2:1        1:0   +   0.867 
   780        2:1        2:1       0.933 
   781        2:1        1:0   +   0.6 
   782        2:1        2:1       0.6 
   783        2:1        2:1       1 
   784        2:1        1:0   +   0.6 
   785        2:1        2:1       0.533 
   786        2:1        2:1       0.733 
   787        2:1        2:1       1 
   788        2:1        2:1       0.667 
   789        2:1        2:1       0.6 
   790        2:1        2:1       1 
   791        2:1        2:1       1 
   792        2:1        2:1       0.6 
   793        2:1        2:1       0.533 
   794        2:1        1:0   +   0.533 
   795        2:1        1:0   +   0.533 
   796        2:1        2:1       1 
   797        2:1        2:1       0.667 
   798        2:1        1:0   +   0.867 
   799        2:1        2:1       0.6 
   800        2:1        2:1       0.8 
   801        2:1        1:0   +   0.533 
   802        2:1        1:0   +   0.667 
   803        2:1        2:1       1 
   804        2:1        1:0   +   0.733 
   805        2:1        1:0   +   0.933 
   806        2:1        1:0   +   0.533 
   807        2:1        2:1       0.867 
   808        2:1        1:0   +   0.8 
   809        2:1        2:1       0.733 
   810        2:1        2:1       0.6 
   811        2:1        2:1       0.8 
   812        2:1        2:1       0.733 
   813        2:1        2:1       0.6 
   814        2:1        2:1       0.8 
   815        2:1        2:1       0.6 
   816        2:1        1:0   +   0.533 
   817        2:1        2:1       0.667 
   818        2:1        2:1       0.8 
   819        2:1        1:0   +   0.667 
   820        2:1        2:1       0.933 
   821        2:1        1:0   +   0.733 
   822        2:1        2:1       0.8 
   823        2:1        1:0   +   0.733 
   824        2:1        2:1       0.733 
   825        2:1        1:0   +   0.533 
   826        2:1        2:1       0.8 
   827        2:1        1:0   +   0.8 
   828        2:1        1:0   +   0.533 
   829        2:1        1:0   +   0.733 
   830        2:1        2:1       0.8 
   831        2:1        2:1       1 
   832        2:1        2:1       0.733 
   833        2:1        2:1       0.733 
   834        2:1        1:0   +   0.6 
   835        2:1        2:1       0.933 
   836        2:1        1:0   +   0.6 
   837        2:1        2:1       1 
   838        2:1        2:1       0.867 
   839        2:1        1:0   +   0.6 
   840        2:1        2:1       0.667 
   841        2:1        2:1       0.933 
   842        2:1        2:1       0.867 
   843        2:1        2:1       0.867 
   844        2:1        2:1       0.867 
   845        2:1        2:1       0.533 
   846        2:1        2:1       1 
   847        2:1        2:1       1 
   848        2:1        2:1       0.867 
   849        2:1        1:0   +   0.6 
   850        2:1        2:1       0.667 
   851        2:1        2:1       0.667 
   852        2:1        1:0   +   0.667 
   853        2:1        2:1       0.867 
   854        2:1        2:1       0.867 
   855        2:1        2:1       0.8 
