@relation test_predicted

@attribute 'prediction margin' numeric
@attribute 'predicted answer' {0,1}
@attribute answer {0,1}
@attribute 0.0 numeric
@attribute 0.1 numeric
@attribute 0.2 numeric
@attribute 0.3 numeric
@attribute 0.4 numeric
@attribute 0.5 numeric
@attribute 0.6 numeric
@attribute 0.7 numeric
@attribute 0.8 numeric
@attribute e0.0 numeric
@attribute e0.1 numeric
@attribute e0.2 numeric
@attribute e0.3 numeric
@attribute e0.4 numeric
@attribute e0.5 numeric
@attribute e0.6 numeric
@attribute e0.7 numeric
@attribute e0.8 numeric
@attribute e0.9 numeric
@attribute 1.0 numeric
@attribute 1.1 numeric
@attribute 1.2 numeric
@attribute 1.3 numeric
@attribute 1.4 numeric
@attribute 1.5 numeric
@attribute 1.6 numeric
@attribute 1.7 numeric
@attribute 1.8 numeric
@attribute e1.0 numeric
@attribute e1.1 numeric
@attribute e1.2 numeric
@attribute e1.3 numeric
@attribute e1.4 numeric
@attribute e1.5 numeric
@attribute e1.6 numeric
@attribute e1.7 numeric
@attribute e1.8 numeric
@attribute e1.9 numeric
@attribute 2.0 numeric
@attribute 2.1 numeric
@attribute 2.2 numeric
@attribute 2.3 numeric
@attribute 2.4 numeric
@attribute 2.5 numeric
@attribute 2.6 numeric
@attribute 2.7 numeric
@attribute 2.8 numeric
@attribute e2.0 numeric
@attribute e2.1 numeric
@attribute e2.2 numeric
@attribute e2.3 numeric
@attribute e2.4 numeric
@attribute e2.5 numeric
@attribute e2.6 numeric
@attribute e2.7 numeric
@attribute e2.8 numeric
@attribute e2.9 numeric
@attribute 3.0 numeric
@attribute 3.1 numeric
@attribute 3.2 numeric
@attribute 3.3 numeric
@attribute 3.4 numeric
@attribute 3.5 numeric
@attribute 3.6 numeric
@attribute 3.7 numeric
@attribute 3.8 numeric
@attribute e3.0 numeric
@attribute e3.1 numeric
@attribute e3.2 numeric
@attribute e3.3 numeric
@attribute e3.4 numeric
@attribute e3.5 numeric
@attribute e3.6 numeric
@attribute e3.7 numeric
@attribute e3.8 numeric
@attribute e3.9 numeric
@attribute 4.0 numeric
@attribute 4.1 numeric
@attribute 4.2 numeric
@attribute 4.3 numeric
@attribute 4.4 numeric
@attribute 4.5 numeric
@attribute 4.6 numeric
@attribute 4.7 numeric
@attribute 4.8 numeric
@attribute 5.0 numeric
@attribute 5.1 numeric
@attribute 5.2 numeric
@attribute 5.3 numeric
@attribute 5.4 numeric
@attribute 5.5 numeric
@attribute 5.6 numeric
@attribute 5.7 numeric
@attribute 5.8 numeric
@attribute 6.0 numeric
@attribute 6.1 numeric
@attribute 6.2 numeric
@attribute 6.3 numeric
@attribute 6.4 numeric
@attribute 6.5 numeric
@attribute 6.6 numeric
@attribute 6.7 numeric
@attribute 6.8 numeric
@attribute 7.0 numeric
@attribute 7.1 numeric
@attribute 7.2 numeric
@attribute 7.3 numeric
@attribute 7.4 numeric
@attribute 7.5 numeric
@attribute 7.6 numeric
@attribute 7.7 numeric
@attribute 7.8 numeric
@attribute 8.0 numeric
@attribute 8.1 numeric
@attribute 8.2 numeric
@attribute 8.3 numeric
@attribute 8.4 numeric
@attribute 8.5 numeric
@attribute 8.6 numeric
@attribute 8.7 numeric
@attribute 8.8 numeric
@attribute 9.0 numeric
@attribute 9.1 numeric
@attribute 9.2 numeric
@attribute 9.3 numeric
@attribute 9.4 numeric
@attribute 9.5 numeric
@attribute 9.6 numeric
@attribute 9.7 numeric
@attribute 9.8 numeric

@data
1,1,1,18,0.563259,20,4.690416,0.476731,34,10,0.512821,0.344828,18,0.563259,20,4.690416,0.476731,34,10,0.512821,0.344828,88.588054,18,0.590835,16,4,0.619751,34,12,0.615385,0.444444,18,0.590835,16,4,0.619751,34,12,0.615385,0.444444,86.270415,13,0.674074,4,2,0.972862,26,9,0.9,0.818182,13,0.674074,4,2,0.972862,26,9,0.9,0.818182,57.365118,17,0.695091,16,4,0.680545,34,11,0.611111,0.44,17,0.695091,16,4,0.680545,34,11,0.611111,0.44,84.426747,5,0.513915,5,2.236068,0.617213,9,4,0.615385,0.444444,5,0.548009,5,2.236068,0.617213,9,4,0.615385,0.444444,5,0.53254,5,2.236068,0.617213,9,4,0.615385,0.444444,5,0.513915,5,2.236068,0.617213,9,4,0.615385,0.444444,2,0.316221,6,2.44949,0,2,0,0,0,5,0.53254,5,2.236068,0.617213,9,4,0.615385,0.444444
1,1,1,8,0.82496,10,3.162278,0.622799,18,8,0.615385,0.444444,10,0.697104,14,3.741657,0.363636,16,4,0.363636,0.222222,9.877651,8,0.749275,10,3.162278,0.622799,18,8,0.615385,0.444444,10,0.694416,14,3.741657,0.363636,16,4,0.363636,0.222222,9.877114,4,0.831717,4,2.44949,0.950654,8,6,0.923077,0.857143,4,0.763636,6,2.828427,0.871033,12,5,0.833333,0.714286,6.602143,8,0.766933,10,3.162278,0.622799,18,8,0.615385,0.444444,10,0.758182,14,3.741657,0.363636,16,4,0.363636,0.222222,9.889867,1,0.661125,3,1.732051,0.730297,3,4,0.727273,0.571429,1,0.652061,3,1.732051,0.730297,3,4,0.727273,0.571429,1,0.605556,3,1.732051,0.730297,3,4,0.727273,0.571429,1,0.661125,3,1.732051,0.730297,3,4,0.727273,0.571429,0,0.464286,2,1.414214,0,0,0,0,0,1,0.605556,3,1.732051,0.730297,3,4,0.727273,0.571429
1,1,1,8,0.801594,9,3,0.782586,29,16,0.780488,0.64,9,0.810485,10,3.162278,0.736842,26,14,0.736842,0.583333,16.257445,8,0.744686,9,3,0.782586,29,16,0.780488,0.64,9,0.751614,10,3.162278,0.736842,26,14,0.736842,0.583333,16.242727,5,0.823285,3,1.732051,0.991762,9,8,0.941176,0.888889,4,0.786997,4,2,0.980749,10,7,0.875,0.777778,7.605131,8,0.865621,9,3.316625,0.770329,29,15,0.789474,0.652174,9,0.863777,10,3.464102,0.714286,26,14,0.777778,0.636364,16.364076,3,0.596819,5,2.236068,0.737865,13,7,0.736842,0.583333,3,0.596819,5,2.236068,0.737865,13,7,0.736842,0.583333,3,0.594213,5,2.236068,0.737865,13,7,0.736842,0.583333,3,0.596819,5,2.236068,0.737865,13,7,0.736842,0.583333,0,0.375,2,1.414214,0.5,0,1,0.5,0.333333,3,0.594213,5,2.236068,0.737865,13,7,0.736842,0.583333
1,1,1,10,0.55617,13,3.605551,0.672214,25,10,0.666667,0.5,10,0.524179,14,3.741657,0.588235,24,8,0.571429,0.4,15.456375,10,0.576061,13,3.605551,0.672214,25,10,0.666667,0.5,10,0.561156,14,3.741657,0.588235,24,8,0.571429,0.4,15.465619,6,0.699048,5,2.236068,0.96511,11,6,0.857143,0.75,7,0.549495,8,3.162278,0.918863,14,5,0.769231,0.625,10.006217,8,0.641799,9,3,0.858128,23,9,0.72,0.5625,11,0.704938,10,3.464102,0.750568,22,9,0.72,0.5625,14.550527,3,0.526005,4,2,0.755929,8,5,0.769231,0.625,3,0.526005,4,2,0.755929,8,5,0.769231,0.625,3,0.696429,4,2,0.755929,8,5,0.769231,0.625,3,0.526005,4,2,0.755929,8,5,0.769231,0.625,2,0.783333,3,1.732051,0.632456,1,1,0.5,0.333333,3,0.696429,4,2,0.755929,8,5,0.769231,0.625
1,1,1,8,1.298933,11,3.605551,0.843274,29,22,0.862745,0.758621,11,0.693235,14,4,0.79104,32,19,0.791667,0.655172,20.732779,7,1.129075,11,3.605551,0.850923,27,22,0.88,0.785714,10,0.588532,14,4,0.799503,30,19,0.808511,0.678571,19.968779,6,0.780505,9,3.316625,0.958424,23,10,0.909091,0.833333,9,0.730303,12,4,0.934353,26,9,0.857143,0.75,15.81795,7,1.051368,11,4.795832,0.860474,25,19,0.883721,0.791667,9,0.67782,14,5.09902,0.812764,28,17,0.829268,0.708333,19.031801,1,1.131987,1,1,0.912871,3,5,0.909091,0.833333,1,1.12516,1,1,0.912871,3,5,0.909091,0.833333,1,1.033333,1,1,0.912871,3,5,0.909091,0.833333,1,1.131987,1,1,0.912871,3,5,0.909091,0.833333,0,1,0,0,1,0,8,1,1,1,1.033333,1,1,0.912871,3,5,0.909091,0.833333
-1,0,1,10,0.534835,16,4,0.467707,20,6,0.444444,0.285714,11,0.448924,20,4.472136,0.231455,20,2,0.173913,0.095238,11.684333,10,0.550878,14,3.741657,0.534522,20,7,0.518519,0.35,11,0.474679,18,4.242641,0.308607,20,3,0.26087,0.15,11.487359,7,0.655934,6,3.162278,0.885013,16,6,0.8,0.666667,9,0.388889,10,4,0.745434,18,4,0.615385,0.444444,9.43883,10,0.625631,14,3.741657,0.632456,20,6,0.5,0.333333,11,0.615497,18,4.690416,0.322749,20,3,0.285714,0.166667,11.616208,2,0.540299,4,2,0.6,6,3,0.6,0.428571,2,0.540299,4,2,0.6,6,3,0.6,0.428571,2,0.645098,4,2,0.6,6,3,0.6,0.428571,2,0.540299,4,2,0.6,6,3,0.6,0.428571,2,0.518519,4,2,0,1,0,0,0,2,0.645098,4,2,0.6,6,3,0.6,0.428571
1,1,1,24,0.67837,7,2.645751,0.922331,29,23,0.901961,0.821429,25,0.600122,12,3.464102,0.838525,28,18,0.782609,0.642857,14.888036,24,0.678517,7,2.645751,0.922331,29,23,0.901961,0.821429,25,0.61978,12,3.464102,0.838525,28,18,0.782609,0.642857,14.891312,13,0.756797,5,2.645751,0.994529,23,7,0.933333,0.875,16,0.6767,4,2,0.987931,24,6,0.857143,0.75,9.211962,24,0.801099,7,2.645751,0.956681,29,20,0.888889,0.8,23,0.675641,10,3.162278,0.906532,28,17,0.809524,0.68,14.038996,8,0.582056,4,2,0.80403,12,8,0.8,0.666667,8,0.582056,4,2,0.80403,12,8,0.8,0.666667,8,0.622054,4,2,0.80403,12,8,0.8,0.666667,8,0.582056,4,2,0.80403,12,8,0.8,0.666667,3,0.747714,1,1,0.912871,7,5,0.909091,0.833333,8,0.622054,4,2,0.80403,12,8,0.8,0.666667
1,1,1,9,1.842087,10,3.162278,0.845403,22,24,0.827586,0.705882,10,0.659518,14,3.741657,0.766667,26,20,0.740741,0.588235,15.299364,9,1.754104,10,3.162278,0.845403,22,24,0.827586,0.705882,10,0.644939,14,3.741657,0.766667,26,20,0.740741,0.588235,15.296448,6,0.921544,6,3.162278,0.986307,14,10,0.909091,0.833333,10,0.914571,6,2.828427,0.978081,18,9,0.857143,0.75,9.865644,9,1.331011,10,3.162278,0.889108,20,21,0.823529,0.7,11,0.677098,14,4,0.810931,22,18,0.75,0.6,14.367606,4,1.58102,4,2,0.848668,10,11,0.846154,0.733333,4,1.572321,4,2,0.848668,10,11,0.846154,0.733333,4,1.303162,4,2,0.848668,10,11,0.846154,0.733333,4,1.58102,4,2,0.848668,10,11,0.846154,0.733333,0,0.691877,2,1.414214,0.75,2,3,0.75,0.6,4,1.303162,4,2,0.848668,10,11,0.846154,0.733333
1,1,1,10,2.061133,11,3.316625,0.825501,25,25,0.833333,0.714286,11,0.815211,12,3.464102,0.806872,26,24,0.813559,0.685714,39.792729,8,1.918303,7,2.645751,0.889001,23,27,0.9,0.818182,9,0.84148,8,2.828427,0.871421,24,26,0.881356,0.787879,36.605282,6,1.062632,5,2.236068,0.986706,19,11,0.956522,0.916667,7,0.908642,6,2.44949,0.983623,20,10,0.909091,0.833333,24.542089,8,1.539274,7,2.645751,0.93441,23,23,0.92,0.851852,9,0.763527,6,2.44949,0.934783,24,23,0.92,0.851852,33.959825,3,1.495887,3,1.732051,0.858116,7,9,0.857143,0.75,3,1.495887,3,1.732051,0.858116,7,9,0.857143,0.75,3,1.285195,3,1.732051,0.858116,7,9,0.857143,0.75,3,1.495887,3,1.732051,0.858116,7,9,0.857143,0.75,0,1,0,0,1,0,6,1,1,3,1.285195,3,1.732051,0.858116,7,9,0.857143,0.75
1,1,1,3,0.659707,8,2.828427,0.834058,8,16,0.820513,0.695652,3,0.659707,8,2.828427,0.834058,8,16,0.820513,0.695652,40.838357,3,0.647966,8,2.828427,0.842701,8,16,0.842105,0.727273,3,0.647966,8,2.828427,0.842701,8,16,0.842105,0.727273,40.888472,1,0.708438,4,2,0.970693,6,10,0.952381,0.909091,1,0.708438,4,2,0.970693,6,10,0.952381,0.909091,26.540603,3,0.721612,8,3.162278,0.880451,8,15,0.857143,0.75,3,0.721612,8,3.162278,0.880451,8,15,0.857143,0.75,40.371483,1,0.613889,1,1,0.912871,1,5,0.909091,0.833333,1,0.613889,1,1,0.912871,1,5,0.909091,0.833333,1,0.627778,1,1,0.912871,1,5,0.909091,0.833333,1,0.613889,1,1,0.912871,1,5,0.909091,0.833333,1,0.547301,3,1.732051,0.755929,3,3,0.75,0.6,1,0.627778,1,1,0.912871,1,5,0.909091,0.833333
1,1,1,11,1.930419,18,4.472136,0.61584,22,16,0.653061,0.484848,15,0.536778,22,4.898979,0.500435,26,12,0.533333,0.363636,16.366632,10,1.830337,16,4.242641,0.65433,22,17,0.693878,0.53125,14,0.548881,20,4.690416,0.542137,26,13,0.577778,0.40625,15.953092,9,1.066621,8,4,0.958423,20,11,1,1,13,0.558776,10,4.690416,0.910321,24,8,0.842105,0.727273,12.545778,10,1.803994,16,4.242641,0.775242,22,14,0.666667,0.5,14,0.648844,20,4.690416,0.696018,26,11,0.564103,0.392857,15.598448,6,1.041741,9,3,0.408248,11,3,0.4,0.25,6,1.041741,9,3,0.408248,11,3,0.4,0.25,6,0.930068,9,3,0.408248,11,3,0.4,0.25,6,1.041741,9,3,0.408248,11,3,0.4,0.25,2,1,3,1.732051,0.67082,3,3,0.666667,0.5,6,0.930068,9,3,0.408248,11,3,0.4,0.25
1,1,1,13,0.582353,6,2.44949,0.881917,16,16,0.864865,0.761905,15,0.5636,8,2.828427,0.829228,18,14,0.8,0.666667,20.229307,13,0.555307,6,2.44949,0.881917,16,16,0.864865,0.761905,15,0.550868,8,2.828427,0.829228,18,14,0.8,0.666667,20.225063,13,0.638837,6,3.464102,0.896258,16,11,1,1,15,0.538847,8,4,0.851485,18,10,0.952381,0.909091,19.417268,12,0.762164,6,2.44949,0.941742,12,13,0.83871,0.722222,14,0.743695,6,2.44949,0.923077,14,12,0.8,0.666667,17.19431,3,0.833333,3,1.732051,0.5,2,1,0.4,0.25,3,0.833333,3,1.732051,0.5,2,1,0.4,0.25,3,0.85,3,1.732051,0.5,2,1,0.4,0.25,3,0.833333,3,1.732051,0.5,2,1,0.4,0.25,2,0.809524,0,0,1,2,5,1,1,3,0.85,3,1.732051,0.5,2,1,0.4,0.25
